## training
with tf.device('/device:GPU:1'):
    miou_plot, loss_plot =train_loops(model=model, \
                                      loss_fun=config.loss_bce, \
                                      optimizer=config.opt_adam, \
                                      tra_dset=tra_dset, \
                                      val_dset=val_dset, \
                                      epochs=config.epochs,
                                      )
WARNING:tensorflow:AutoGraph could not transform <function train_step at 0x18b9c4ee0> and will run it as-is.
Cause: Unable to locate the source code of <function train_step at 0x18b9c4ee0>. Note that functions defined in certain environments, like the interactive Python shell, do not expose their source code. If that is the case, you should define them in a .py source file. If you are certain the code is graph-compatible, wrap the call using @tf.autograph.experimental.do_not_convert. Original error: could not get source code
To silence this warning, decorate the function with @tf.autograph.experimental.do_not_convert
WARNING:tensorflow:AutoGraph could not transform <function test_step at 0x18b9c77f0> and will run it as-is.
Cause: Unable to locate the source code of <function test_step at 0x18b9c77f0>. Note that functions defined in certain environments, like the interactive Python shell, do not expose their source code. If that is the case, you should define them in a .py source file. If you are certain the code is graph-compatible, wrap the call using @tf.autograph.experimental.do_not_convert. Original error: could not get source code
To silence this warning, decorate the function with @tf.autograph.experimental.do_not_convert
Ep 1/200: traLoss:0.303,traOA:0.882,traMIoU:0.741,valLoss:0.582,valOA:0.752,valMIoU:0.376,time:207.0s
<input>:50: MatplotlibDeprecationWarning: Support for FigureCanvases without a required_interactive_framework attribute was deprecated in Matplotlib 3.6 and will be removed two minor releases later.
<input>:56: MatplotlibDeprecationWarning: Support for FigureCanvases without a required_interactive_framework attribute was deprecated in Matplotlib 3.6 and will be removed two minor releases later.
Ep 2/200: traLoss:0.158,traOA:0.948,traMIoU:0.877,valLoss:0.596,valOA:0.752,valMIoU:0.376,time:175.8s
Ep 3/200: traLoss:0.114,traOA:0.961,traMIoU:0.904,valLoss:0.642,valOA:0.752,valMIoU:0.376,time:172.9s
Ep 4/200: traLoss:0.111,traOA:0.960,traMIoU:0.898,valLoss:0.594,valOA:0.762,valMIoU:0.489,time:175.6s
Ep 5/200: traLoss:0.140,traOA:0.949,traMIoU:0.879,valLoss:1.383,valOA:0.358,valMIoU:0.215,time:170.9s
Ep 6/200: traLoss:0.146,traOA:0.943,traMIoU:0.866,valLoss:0.494,valOA:0.752,valMIoU:0.376,time:172.2s
Ep 7/200: traLoss:0.121,traOA:0.958,traMIoU:0.898,valLoss:0.455,valOA:0.787,valMIoU:0.463,time:169.7s
Ep 8/200: traLoss:0.107,traOA:0.966,traMIoU:0.917,valLoss:0.406,valOA:0.765,valMIoU:0.410,time:170.1s
Ep 9/200: traLoss:0.101,traOA:0.965,traMIoU:0.912,valLoss:0.836,valOA:0.752,valMIoU:0.376,time:173.4s
Ep 10/200: traLoss:0.114,traOA:0.957,traMIoU:0.891,valLoss:0.362,valOA:0.856,valMIoU:0.632,time:175.6s
Ep 11/200: traLoss:0.146,traOA:0.944,traMIoU:0.854,valLoss:0.385,valOA:0.763,valMIoU:0.402,time:176.0s
Ep 12/200: traLoss:0.096,traOA:0.966,traMIoU:0.914,valLoss:0.167,valOA:0.963,valMIoU:0.903,time:175.6s
Ep 13/200: traLoss:0.107,traOA:0.966,traMIoU:0.915,valLoss:0.135,valOA:0.978,valMIoU:0.943,time:175.4s
Ep 14/200: traLoss:0.090,traOA:0.968,traMIoU:0.914,valLoss:0.069,valOA:0.981,valMIoU:0.950,time:174.2s
Ep 15/200: traLoss:0.110,traOA:0.959,traMIoU:0.897,valLoss:0.079,valOA:0.978,valMIoU:0.941,time:176.5s
